Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
0,0,0,0,2.31403749991581e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14068866910611e-07,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
1,0.0005,0,0,2.31257759770619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13491847705297e-07,0,1.76559108635015e-13,0,2001.26239035868,0,2.40392680013263e-05,0,399999.960179248,0
2,0.001,0,0,2.31112328506521e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1291703687575e-07,0,3.52892506972969e-13,0,2002.52153365001,0,2.40241502404204e-05,0,399999.920612985,0
3,0.0015,0,0,2.30967396273944e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1234419757497e-07,0,5.29070094131119e-13,0,2003.77793432721,0,2.40090843540395e-05,0,399999.881268404,0
4,0.002,0,0,2.30822957458578e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11773307617352e-07,0,7.05096252787128e-13,0,2005.03162782751,0,2.39940697585714e-05,0,399999.842142248,0
5,0.0025,0,0,2.30679155498211e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11204933942175e-07,0,8.80793160645718e-13,0,2006.28135387528,0,2.39791213645565e-05,0,399999.80331189,0
6,0.003,0,0,2.30536046408088e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10639297956094e-07,0,1.05608836278934e-12,0,2007.52660704614,0,2.39642449948533e-05,0,399999.764806891,0
7,0.0035,0,0,2.30393293102581e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10075067340234e-07,0,1.23139180572572e-12,0,2008.77030589372,0,2.39494056089901e-05,0,399999.72644561,0
8,0.004,0,0,2.30251162769903e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09513298157055e-07,0,1.40637308305691e-12,0,2010.01010999512,0,2.39346309815205e-05,0,399999.688371271,0
9,0.0045,0,0,2.30109697160199e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08954155431255e-07,0,1.58097690854679e-12,0,2011.24563725748,0,2.3919925452428e-05,0,399999.650605787,0
10,0.005,0,0,2.29968764509146e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08397118371404e-07,0,1.75536232674415e-12,0,2012.47802181141,0,2.39052753246483e-05,0,399999.613078296,0
11,0.0055,0,0,2.29828455188661e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07842544179355e-07,0,1.92941423221644e-12,0,2013.70645771362,0,2.38906899924597e-05,0,399999.575836486,0
12,0.006,0,0,2.29688603904438e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07289779533489e-07,0,2.10333457256261e-12,0,2014.9323773342,0,2.38761522733118e-05,0,399999.538792249,0
13,0.0065,0,0,2.29549327132296e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06739284811805e-07,0,2.27697577357261e-12,0,2016.15474601434,0,2.38616742750172e-05,0,399999.502007085,0
