Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
0,0,0,0,1.20272219330344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20272219330344e-05,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
1,1e-06,0,0,1.20272219330344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20272219330344e-05,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
2,2e-06,0,0,1.20272219330344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20272219330344e-05,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
3,3e-06,0,0,1.20272219330344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20272219330344e-05,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
4,4e-06,0,0,1.20272219330344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20272219330344e-05,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
5,5e-06,0,0,1.20272219330344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20272219330344e-05,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
6,6e-06,0,0,1.20272219330344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20272219330344e-05,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
7,7e-06,0,0,1.20272219330344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20272219330344e-05,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
8,8e-06,0,0,1.18456763950919e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17446663139087e-05,0,2.02020162366398e-07,0,2021.37073633602,0,2.3792362871367e-05,0,399869.448857302,0
9,9e-06,0,0,1.18456763950919e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17446663139087e-05,0,2.02020162366398e-07,0,2021.37073633602,0,2.3792362871367e-05,0,399869.448857302,0
10,1e-05,0,0,1.18456763950919e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17446663139087e-05,0,2.02020162366398e-07,0,2021.37073633602,0,2.3792362871367e-05,0,399869.448857302,0
11,1.1e-05,0,0,1.18456763950919e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17446663139087e-05,0,2.02020162366398e-07,0,2021.37073633602,0,2.3792362871367e-05,0,399869.448857302,0
12,1.2e-05,0,0,1.17565089578549e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16047134299877e-05,0,3.03591055734356e-07,0,2032.09670962891,0,2.3664813443577e-05,0,399836.219872117,0
13,1.3e-05,0,0,1.16677485874077e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14648883222093e-05,0,4.05720530396698e-07,0,2042.84221296284,0,2.35383574400137e-05,0,399802.634972551,0
14,1.4e-05,0,0,1.15793845156356e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13251710973415e-05,0,5.08426836588256e-07,0,2053.60712354972,0,2.34129824495653e-05,0,399768.689807834,0
15,1.5e-05,0,0,1.15793845156356e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13251710973415e-05,0,5.08426836588256e-07,0,2053.60712354972,0,2.34129824495653e-05,0,399768.689807834,0
16,1.6e-05,0,0,1.149140590996e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11855416818302e-05,0,6.11728456259725e-07,0,2064.39133460252,0,2.32886760480499e-05,0,399734.38002262,0
17,1.7e-05,0,0,1.14038018719446e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10459798185657e-05,0,7.15644106757791e-07,0,2075.1947560402,0,2.3165425797268e-05,0,399699.701257617,0
18,1.8e-05,0,0,1.14038018719446e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10459798185657e-05,0,7.15644106757791e-07,0,2075.1947560402,0,2.3165425797268e-05,0,399699.701257617,0
19,1.9e-05,0,0,1.13165614358846e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0906465063611e-05,0,8.201927445473e-07,0,2086.01731520657,0,2.30432192440429e-05,0,399664.649150175,0
20,2e-05,0,0,1.11410901330928e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06252277477978e-05,0,1.03172477059001e-06,0,2107.70060000101,0,2.27980426514807e-05,0,399522.420413601,0
21,2.1e-05,0,0,1.11410901330928e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06252277477978e-05,0,1.03172477059001e-06,0,2107.70060000101,0,2.27980426514807e-05,0,399522.420413601,0
22,2.2e-05,0,0,1.11410901330928e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06252277477978e-05,0,1.03172477059001e-06,0,2107.70060000101,0,2.27980426514807e-05,0,399522.420413601,0
23,2.3e-05,0,0,1.1054875745663e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04857294387151e-05,0,1.13829261389571e-06,0,2118.58152205202,0,2.26788977982738e-05,0,399486.216213917,0
24,2.4e-05,0,0,1.1054875745663e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04857294387151e-05,0,1.13829261389571e-06,0,2118.58152205202,0,2.26788977982738e-05,0,399486.216213917,0
