Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
0,0,0,0,3.00680548325859e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00680548325859e-05,0,0,0,2000,0,6.01361096651718e-05,0,1000000,0
1,1e-06,0,0,2.9902572049777e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98525979250936e-05,0,9.99482493668272e-08,0,2009.34948466346,0,5.98551182242375e-05,0,999980.308237306,0
2,2e-06,0,0,2.9902572049777e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98525979250936e-05,0,9.99482493668272e-08,0,2009.34948466346,0,5.98551182242375e-05,0,999980.308237306,0
3,3e-06,0,0,2.97377262554809e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9637802015402e-05,0,1.99848480157799e-07,0,2018.74465512772,0,5.95753767510407e-05,0,999960.540040033,0
4,4e-06,0,0,2.95735196448528e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94236673912214e-05,0,2.99704507262813e-07,0,2028.18534826988,0,5.92968915433369e-05,0,999940.695330649,0
5,5e-06,0,0,2.94099544104721e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92101942954663e-05,0,3.99520230011502e-07,0,2037.67138676742,0,5.90196689359499e-05,0,999920.774031398,0
6,6e-06,0,0,2.94099544104721e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92101942954663e-05,0,3.99520230011502e-07,0,2037.67138676742,0,5.90196689359499e-05,0,999920.774031398,0
7,7e-06,0,0,2.92470327383384e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89973829214648e-05,0,4.99299633747208e-07,0,2047.20257897074,0,5.87437152935503e-05,0,999900.77606341,0
8,8e-06,0,0,2.85986884134085e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81497974191693e-05,0,8.97781988478315e-07,0,2085.50713827007,0,5.76462678210561e-05,0,999579.983680488,0
9,9e-06,0,0,2.8438986664651e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79402658053233e-05,0,9.97441718655459e-07,0,2095.26276615592,0,5.73766941886298e-05,0,999559.596122132,0
10,1e-05,0,0,2.82799415379255e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77313961267242e-05,0,1.09709082240255e-06,0,2105.06212160582,0,5.71084284870523e-05,0,999539.131329549,0
11,1.1e-05,0,0,2.8121555050259e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75231880857034e-05,0,1.19673392911132e-06,0,2114.9049108258,0,5.68414770650737e-05,0,999518.589187519,0
