Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
0,0,0,0,2.16489994794618e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40544438660687e-06,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
1,0.0001,0,0,2.11986553840606e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24672881298031e-06,0,5.92785495295677e-08,0,2046.56200536849,0,2.35046627465705e-05,0,399957.280192927,0
2,0.0002,0,0,2.08114243742741e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09901038310086e-06,0,1.16383692507054e-07,0,2088.85849945125,0,2.3026818449882e-05,0,399924.152910527,0
3,0.0003,0,0,2.04737811156362e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95979726398178e-06,0,1.71854893321226e-07,0,2127.65632028631,0,2.26054332729392e-05,0,399897.775594179,0
4,0.0004,0,0,2.01761354080589e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82736135222829e-06,0,2.26053529576013e-07,0,2163.51705371956,0,2.22295502898632e-05,0,399876.309063018,0
5,0.0005,0,0,1.99119424669895e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7007135320658e-06,0,2.79122465357412e-07,0,2196.80094140517,0,2.18917784644127e-05,0,399858.585859836,0
6,0.0006,0,0,1.96757571684297e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5789436262553e-06,0,3.31228153462544e-07,0,2227.84442838205,0,2.15859289481475e-05,0,399843.719574971,0
7,0.0007,0,0,1.9461916923308e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46055507609011e-06,0,3.82843711424059e-07,0,2257.11512747333,0,2.13053157108221e-05,0,399830.905709075,0
8,0.0008,0,0,1.92680923121073e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34547619735605e-06,0,4.33867062781987e-07,0,2284.7066173722,0,2.10474355722453e-05,0,399819.805424444,0
9,0.0009,0,0,1.90916168070466e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23326886464368e-06,0,4.8437557728809e-07,0,2310.80020819051,0,2.08092612489784e-05,0,399810.076625886,0
10,0.001,0,0,1.89318321638383e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12336687308865e-06,0,5.34638200366091e-07,0,2335.376411546,0,2.05898372372931e-05,0,399801.554085187,0
11,0.0011,0,0,1.87905156058986e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01573195020617e-06,0,5.84783518426849e-07,0,2358.1027340846,0,2.03910310745316e-05,0,399794.286622312,0
12,0.0012,0,0,1.86595125950656e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09359689685279e-07,0,6.34865175024128e-07,0,2379.92313725525,0,2.0203737459775e-05,0,399787.602717149,0
13,0.0013,0,0,1.85380013558328e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.04243977186108e-07,0,6.84836700676235e-07,0,2400.87893507575,0,2.00270820336952e-05,0,399781.426279892,0
14,0.0014,0,0,1.84250002275776e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00164086217255e-07,0,7.34758997068019e-07,0,2421.05198844563,0,1.98599233108629e-05,0,399775.66797931,0
15,0.0015,0,0,1.83196204202497e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96873678476882e-07,0,7.84712564482293e-07,0,2440.52336754273,0,1.97012066632089e-05,0,399770.250337598,0
16,0.0016,0,0,1.82211237918856e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94169037049033e-07,0,8.34763785360265e-07,0,2459.36050613312,0,1.95500566142949e-05,0,399765.111158411,0
