Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
0,0,0,0,2.16489994794618e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40544438660687e-06,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
1,0.0001,0,0,2.15579574517051e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2840550162646e-06,0,6.06946851711374e-08,0,2049.10495510326,0,2.39027071531409e-05,0,407235.818384256,0
2,0.0002,0,0,2.1466194085901e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16170386185911e-06,0,1.21870262373879e-07,0,2093.76544118034,0,2.3749768210134e-05,0,413449.125586032,0
3,0.0003,0,0,2.13737368805718e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03842758808676e-06,0,1.83508399260058e-07,0,2134.76026321684,0,2.35956728679186e-05,0,418809.140654047,0
4,0.0004,0,0,2.12806759033409e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91434628511232e-06,0,2.45549050747276e-07,0,2172.66452349877,0,2.34405712392005e-05,0,423443.566814667,0
5,0.0005,0,0,2.1187319018099e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78987043812301e-06,0,3.07786974241933e-07,0,2207.84955765222,0,2.32849764304639e-05,0,427444.718308044,0
6,0.0006,0,0,2.10938304189207e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66521897255198e-06,0,3.70112707027445e-07,0,2240.66465467641,0,2.31291620985001e-05,0,430894.983853646,0
7,0.0007,0,0,2.09997472140149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53977469934433e-06,0,4.32834843631273e-07,0,2271.59243073494,0,2.29723567569905e-05,0,433881.007732905,0
8,0.0008,0,0,2.09055440517875e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41417048304108e-06,0,4.95636951782898e-07,0,2300.73337168159,0,2.28153514866115e-05,0,436443.601391573,0
9,0.0009,0,0,2.08113398932368e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2885649383068e-06,0,5.58439724150036e-07,0,2328.27750790396,0,2.26583445556936e-05,0,438629.255276825,0
10,0.001,0,0,2.0716980308256e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16275215833239e-06,0,6.21346114137243e-07,0,2353.3696838891,0,2.25010785807256e-05,0,440279.197320227,0
11,0.0011,0,0,2.06226623695879e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03699490677488e-06,0,6.84224739915997e-07,0,2377.30416018311,0,2.23438820162787e-05,0,441649.817120643,0
12,0.0012,0,0,2.05281573214096e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.10988175870592e-07,0,7.47228105368141e-07,0,2400.25552373388,0,2.21863736026484e-05,0,442770.29298939,0
13,0.0013,0,0,2.04336825614588e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8502182926951e-07,0,8.10211278668682e-07,0,2422.26982163296,0,2.2028915669397e-05,0,443660.039919257,0
14,0.0014,0,0,2.03392482522328e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59109416968106e-07,0,8.73167484819385e-07,0,2443.43331519992,0,2.18715251540203e-05,0,444338.796715655,0
15,0.0015,0,0,2.02448175297705e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33201787018396e-07,0,9.3612129979424e-07,0,2463.83081135425,0,2.17141406165831e-05,0,444823.991700623,0
16,0.0016,0,0,2.0150369670548e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07271308055031e-07,0,9.99086539275923e-07,0,2483.53291548947,0,2.15567275178789e-05,0,445130.576611744,0
17,0.0017,0,0,2.00559861738087e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81426645735978e-07,0,1.06200887043545e-06,0,2502.58119657449,0,2.13994216899801e-05,0,445271.49026676,0
18,0.0018,0,0,1.99619324600717e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56021694086708e-07,0,1.12471134626008e-06,0,2520.97686502827,0,2.12426655004185e-05,0,445258.835134662,0
19,0.0019,0,0,1.98677530103381e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04490944418892e-08,0,1.18749764608249e-06,0,2538.85645533286,0,2.10856997508625e-05,0,445103.326651441,0
20,0.002,0,0,1.96853495646562e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24435856715436e-06,0,2556.14638973598,0,2.09297081318105e-05,0,444819.245684759,0
21,0.0021,0,0,1.94760425175542e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2987275814245e-06,0,2572.94898866381,0,2.07747700989787e-05,0,444428.680317908,0
22,0.0022,0,0,1.92686932117208e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35230913808005e-06,0,2589.29113468806,0,2.06210023498008e-05,0,443941.076917088,0
23,0.0023,0,0,1.90634030023411e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40508117384724e-06,0,2605.19528783894,0,2.04684841761884e-05,0,443364.218453053,0
24,0.0024,0,0,1.88609151006953e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45685865091176e-06,0,2620.63271611704,0,2.0317773751607e-05,0,442707.575436684,0
25,0.0025,0,0,1.86604444590765e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50784804272686e-06,0,2635.68948063929,0,2.01682925018033e-05,0,441975.351294181,0
26,0.0026,0,0,1.84625025374695e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5579247231481e-06,0,2650.35014374795,0,2.00204272606176e-05,0,441175.381675911,0
27,0.0027,0,0,1.82663879329541e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60727106575448e-06,0,2664.68742698898,0,1.98736589987086e-05,0,440310.23587144,0
28,0.0028,0,0,1.8072598964804e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65576646245176e-06,0,2678.68331695236,0,1.97283654272557e-05,0,439386.947667283,0
29,0.0029,0,0,1.78810125085981e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70344722968981e-06,0,2692.36407284945,0,1.95844597382879e-05,0,438409.601810933,0
30,0.003,1.96029314717892e-29,0,1.76920061107231e-05,0,7.15252763703924e-24,0,5.45434912104097e-20,0,2.42515170337495e-25,0,1.65276934560881e-29,0,0,0,1.39622049728028e-26,0,0,0,1.75022558779176e-06,0,2705.71880022327,0,1.94422316985149e-05,0,437384.56077277,0
31,0.0031,2.55629190465219e-12,0,1.73510894989286e-05,0,9.82688377753587e-10,0,3.96583074610321e-07,0,7.16230319064206e-11,0,1.62356633517894e-13,0,0,0,1.53284869796898e-13,0,0,0,1.78497498117759e-06,0,2700.82124125111,0,1.95337047380596e-05,0,438646.970768659,0
32,0.0032,3.13218547071507e-12,0,1.7202942671689e-05,0,1.12550902294757e-09,0,4.12460145301382e-07,0,7.64987235283668e-11,0,1.78270649241396e-13,0,0,0,1.89150513662884e-13,0,0,0,1.81957416706186e-06,0,2710.14181767417,0,1.94361824914054e-05,0,437963.240715015,0
33,0.0033,3.55300257533198e-12,0,1.71882803309356e-05,0,1.26842450699466e-09,0,4.14004595894735e-07,0,8.56308852329968e-11,0,2.22541245459035e-13,0,0,0,2.38819134223855e-13,0,0,0,1.82293511572501e-06,0,2711.04820850879,0,1.94265781123105e-05,0,437893.223240358,0
34,0.0034,3.59662872012416e-12,0,1.71735384335817e-05,0,1.27550794956278e-09,0,4.15584791215171e-07,0,8.55178087228301e-11,0,2.21108375782425e-13,0,0,0,2.4004029149877e-13,0,0,0,1.82637487218892e-06,0,2711.97090059467,0,1.94168631805214e-05,0,437823.199900969,0
35,0.0035,3.64444807014916e-12,0,1.71588925937153e-05,0,1.28399853593379e-09,0,4.17151679810055e-07,0,8.54990607695292e-11,0,2.20177397926896e-13,0,0,0,2.41795639603898e-13,0,0,0,1.82979067947235e-06,0,2712.88704633326,0,1.94072085570155e-05,0,437753.331508803,0
36,0.0036,3.69511566796346e-12,0,1.71442415446869e-05,0,1.29331024493524e-09,0,4.1872647947473e-07,0,8.55311648115203e-11,0,2.19510077561334e-13,0,0,0,2.43850113864855e-13,0,0,0,1.83320499785195e-06,0,2713.80237462566,0,1.93975560218992e-05,0,437683.231316939,0
37,0.0037,3.74488760340433e-12,0,1.71296391517747e-05,0,1.3021631526814e-09,0,4.20300401449543e-07,0,8.55306729959094e-11,0,2.18676419946601e-13,0,0,0,2.4572296059826e-13,0,0,0,1.83660625062069e-06,0,2714.71386556297,0,1.93879377069576e-05,0,437613.138019731,0
38,0.0038,3.79563704442323e-12,0,1.71150115900981e-05,0,1.31112409548465e-09,0,4.21883320293066e-07,0,8.55339152218267e-11,0,2.17867624330827e-13,0,0,0,2.47606507072719e-13,0,0,0,1.8400110742903e-06,0,2715.62596650778,0,1.93783069038033e-05,0,437542.715249861,0
39,0.0039,3.85343234933757e-12,0,1.71003779689013e-05,0,1.32237950586758e-09,0,4.23468346138934e-07,0,8.56800385669358e-11,0,2.17793423803341e-13,0,0,0,2.50380490692235e-13,0,0,0,1.84341480702722e-06,0,2716.53752634812,0,1.93686735032181e-05,0,437472.000600243,0
40,0.004,3.90874814744171e-12,0,1.70856397484986e-05,0,1.33254976135417e-09,0,4.25071136809862e-07,0,8.57454170184633e-11,0,2.17287984683352e-13,0,0,0,2.5272855456469e-13,0,0,0,1.84684156498826e-06,0,2717.45460964366,0,1.93589751242398e-05,0,437400.560846473,0
41,0.0041,3.9535209531413e-12,0,1.7071013102965e-05,0,1.33903782932895e-09,0,4.26652719517941e-07,0,8.55739217069607e-11,0,2.15606310779272e-13,0,0,0,2.53681268753619e-13,0,0,0,1.85024383646732e-06,0,2718.36524171304,0,1.93493386935098e-05,0,437329.335464421,0
42,0.0042,3.99364790821773e-12,0,1.70564189506324e-05,0,1.34381357246185e-09,0,4.28243413234264e-07,0,8.52944605528751e-11,0,2.13393256249313e-13,0,0,0,2.53972869245594e-13,0,0,0,1.85363632094248e-06,0,2719.2726345178,0,1.93397322538562e-05,0,437258.121365227,0
43,0.0043,4.0579091041173e-12,0,1.70417959951187e-05,0,1.3564909214964e-09,0,4.29851149415461e-07,0,8.55140949628729e-11,0,2.13678976865157e-13,0,0,0,2.57233293414423e-13,0,0,0,1.85702897050506e-06,0,2720.17939547221,0,1.9330122648877e-05,0,437186.589174049,0
44,0.0044,4.11322707619241e-12,0,1.70272411933438e-05,0,1.36609423273088e-09,0,4.31433158790615e-07,0,8.55334889103367e-11,0,2.12977152323424e-13,0,0,0,2.59348732617194e-13,0,0,0,1.8604080100229e-06,0,2721.08307979285,0,1.9320538575432e-05,0,437114.99548948,0
45,0.0045,4.16434453334438e-12,0,1.70126614362489e-05,0,1.37408212425137e-09,0,4.33032055060886e-07,0,8.5448529053358e-11,0,2.11756208137157e-13,0,0,0,2.60832167058268e-13,0,0,0,1.86379049034556e-06,0,2721.98695513617,0,1.93109481492415e-05,0,437043.144678091,0
46,0.0046,4.22464752227415e-12,0,1.69980493391262e-05,0,1.38490212336181e-09,0,4.34639054310983e-07,0,8.55347835258421e-11,0,2.11381497004054e-13,0,0,0,2.63373990777659e-13,0,0,0,1.86717747060466e-06,0,2722.89162799284,0,1.93013410003517e-05,0,436970.899111309,0
47,0.0047,4.28756737234317e-12,0,1.69834945383171e-05,0,1.39638313085462e-09,0,4.36254051167552e-07,0,8.5660143040061e-11,0,2.11200679260066e-13,0,0,0,2.66162250251305e-13,0,0,0,1.87054765346279e-06,0,2723.79117508586,0,1.92917830511517e-05,0,436898.80106121,0
48,0.0048,4.3189885780029e-12,0,1.69690019744559e-05,0,1.39753175204675e-09,0,4.37856614980737e-07,0,8.51506539154101e-11,0,2.07913970047684e-13,0,0,0,2.65021900135459e-13,0,0,0,1.87390769802275e-06,0,2724.68778729466,0,1.92822537617898e-05,0,436826.738782979,0
49,0.0049,4.39643762009066e-12,0,1.69544280589144e-05,0,1.41337861433492e-09,0,4.39466096746407e-07,0,8.55308982711935e-11,0,2.08987161780379e-13,0,0,0,2.69456952593111e-13,0,0,0,1.87727861182725e-06,0,2725.58758676191,0,1.92726765518824e-05,0,436753.959193264,0
50,0.005,4.45513617660113e-12,0,1.69398988265577e-05,0,1.42304325615962e-09,0,4.41063363261645e-07,0,8.5529923385969e-11,0,2.08203321443011e-13,0,0,0,2.71545522084866e-13,0,0,0,1.88064151600491e-06,0,2726.48530923079,0,1.92631172138888e-05,0,436681.108788753,0
51,0.0051,4.51815367679052e-12,0,1.69253556301191e-05,0,1.43383376486538e-09,0,4.42679680076472e-07,0,8.55940427479171e-11,0,2.0773323659706e-13,0,0,0,2.74041628101453e-13,0,0,0,1.88400365623737e-06,0,2727.38202373636,0,1.92535633941691e-05,0,436608.07945927,0
52,0.0052,4.57806143905652e-12,0,1.69107792345838e-05,0,1.44343599040243e-09,0,4.44302856545592e-07,0,8.55811087998513e-11,0,2.06892967011555e-13,0,0,0,2.76077954519699e-13,0,0,0,1.88737238186628e-06,0,2728.28016408484,0,1.92439885511272e-05,0,436534.658911629,0
53,0.0053,4.6358678617078e-12,0,1.6896276860371e-05,0,1.45223211869472e-09,0,4.4592632664257e-07,0,8.55203945926787e-11,0,2.05821320848467e-13,0,0,0,2.77792425345655e-13,0,0,0,1.89072196653542e-06,0,2729.17272129777,0,1.92344680255439e-05,0,436461.435036851,0
54,0.0054,4.70120221981243e-12,0,1.68817810229537e-05,0,1.46323816709873e-09,0,4.47542137049709e-07,0,8.55848811437996e-11,0,2.05360830884303e-13,0,0,0,2.8035178503561e-13,0,0,0,1.89406859384713e-06,0,2730.06463826498,0,1.92249457638136e-05,0,436387.928106587,0
55,0.0055,4.74890602963036e-12,0,1.68673165915689e-05,0,1.46859443752576e-09,0,4.49164459304956e-07,0,8.5317871205212e-11,0,2.0332161667723e-13,0,0,0,2.80744103200284e-13,0,0,0,1.89740804122178e-06,0,2730.95400113709,0,1.92154482373761e-05,0,436314.433538232,0
