Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
0,0,0,0,1.20272219330344e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20272219330344e-05,0,0,0,2000,0,2.40544438660687e-05,0,400000,0
1,5e-06,0,0,1.18456763950919e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17446663139087e-05,0,2.02020162366398e-07,0,2021.37073633602,0,2.3792362871367e-05,0,399869.448857302,0
2,1e-05,0,0,1.17565089578549e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16047134299877e-05,0,3.03591055734356e-07,0,2032.09670962891,0,2.3664813443577e-05,0,399836.219872117,0
3,1.5e-05,0,0,1.15774053216272e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13229526873199e-05,0,5.08905268614605e-07,0,2053.58771629677,0,2.34092632775616e-05,0,399701.408870812,0
4,2e-05,0,0,1.1308589943257e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08975517128115e-05,0,8.22076460890979e-07,0,2085.94375969974,0,2.30282181169594e-05,0,399390.384126363,0
5,2.5e-05,0,0,1.10428568412262e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04722979663042e-05,0,1.14111774984407e-06,0,2118.48249769401,0,2.26562725573745e-05,0,399069.021450026,0
6,3e-05,0,0,1.09569726614402e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03327611504984e-05,0,1.24842302188366e-06,0,2129.38935462846,0,2.25381568338223e-05,0,399032.390872161,0
7,3.5e-05,0,0,1.07840320017622e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00511859714539e-05,0,1.46569206061673e-06,0,2151.24104522724,0,2.23009100338328e-05,0,398883.74287775,0
8,4e-05,0,0,1.01505701194401e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02138700629513e-06,0,2.25836622628989e-06,0,2227.99774206339,0,2.14303233520251e-05,0,396988.700348645,0
9,4.5e-05,0,0,9.89467967455624e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,8.58989995606261e-06,0,2.60955943698729e-06,0,2261.3887899328,0,2.10941390676061e-05,0,396617.355914487,0
