Step,Time (s),Total Comput. Time (s),Err,ODE (gas-phase) Comput. Time (s),Err,MC (particle) Comput. Time (s),Err
0,0,0,0,0,0,0,0
1,1e-06,0.009,0,0.008,0,0.001,0
2,2e-06,0.014,0,0.013,0,0.001,0
3,3e-06,0.019,0,0.017,0,0.002,0
4,4e-06,0.024,0,0.022,0,0.002,0
5,5e-06,0.029,0,0.027,0,0.002,0
6,6e-06,0.034,0,0.032,0,0.002,0
7,7e-06,0.039,0,0.037,0,0.002,0
8,8e-06,0.044,0,0.042,0,0.002,0
9,9e-06,0.05,0,0.048,0,0.002,0
10,1e-05,0.054,0,0.052,0,0.002,0
11,1.1e-05,0.059,0,0.056,0,0.002,0
12,1.2e-05,0.065,0,0.061,0,0.003,0
13,1.3e-05,0.07,0,0.066,0,0.003,0
14,1.4e-05,0.075,0,0.071,0,0.003,0
15,1.5e-05,0.08,0,0.076,0,0.003,0
16,1.6e-05,0.086,0,0.082,0,0.003,0
17,1.7e-05,0.091,0,0.086,0,0.004,0
18,1.8e-05,0.096,0,0.091,0,0.004,0
19,1.9e-05,0.101,0,0.095,0,0.004,0
20,2e-05,0.106,0,0.1,0,0.004,0
21,2.1e-05,0.111,0,0.105,0,0.004,0
22,2.2e-05,0.116,0,0.11,0,0.004,0
23,2.3e-05,0.121,0,0.114,0,0.005,0
24,2.4e-05,0.126,0,0.118,0,0.006,0
25,2.5e-05,0.132,0,0.124,0,0.006,0
26,2.6e-05,0.138,0,0.128,0,0.007,0
27,2.7e-05,0.143,0,0.133,0,0.007,0
28,2.8e-05,0.149,0,0.138,0,0.008,0
29,2.9e-05,0.154,0,0.143,0,0.008,0
30,3e-05,0.16,0,0.149,0,0.008,0
31,3.1e-05,0.165,0,0.154,0,0.008,0
32,3.2e-05,0.171,0,0.16,0,0.008,0
33,3.3e-05,0.179,0,0.167,0,0.009,0
34,3.4e-05,0.186,0,0.174,0,0.009,0
35,3.5e-05,0.195,0,0.182,0,0.01,0
36,3.6e-05,0.202,0,0.189,0,0.01,0
37,3.7e-05,0.208,0,0.194,0,0.011,0
38,3.8e-05,0.214,0,0.2,0,0.011,0
39,3.9e-05,0.219,0,0.204,0,0.012,0
40,4e-05,0.224,0,0.208,0,0.013,0
41,4.1e-05,0.229,0,0.213,0,0.013,0
42,4.2e-05,0.238,0,0.218,0,0.017,0
43,4.3e-05,0.243,0,0.223,0,0.017,0
44,4.4e-05,0.248,0,0.228,0,0.017,0
45,4.5e-05,0.253,0,0.232,0,0.017,0
46,4.6e-05,0.259,0,0.237,0,0.017,0
47,4.7e-05,0.464,0,0.442,0,0.017,0
48,4.8e-05,0.575,0,0.553,0,0.017,0
49,4.9e-05,0.696,0,0.673,0,0.018,0
50,5e-05,0.758,0,0.735,0,0.018,0
51,5.1e-05,0.849,0,0.825,0,0.019,0
52,5.19999999999999e-05,0.945,0,0.92,0,0.02,0
53,5.29999999999999e-05,0.964,0,0.939,0,0.02,0
54,5.39999999999999e-05,0.977,0,0.952,0,0.02,0
55,5.49999999999999e-05,0.991,0,0.965,0,0.02,0
56,5.59999999999999e-05,1.002,0,0.976,0,0.02,0
57,5.69999999999999e-05,1.016,0,0.989,0,0.02,0
58,5.79999999999999e-05,1.026,0,0.999,0,0.02,0
59,5.89999999999999e-05,1.036,0,1.009,0,0.02,0
60,5.99999999999999e-05,1.047,0,1.019,0,0.021,0
61,6.09999999999999e-05,1.057,0,1.029,0,0.021,0
62,6.19999999999999e-05,1.065,0,1.036,0,0.021,0
63,6.29999999999999e-05,1.074,0,1.044,0,0.022,0
64,6.39999999999999e-05,1.084,0,1.054,0,0.022,0
65,6.49999999999999e-05,1.094,0,1.064,0,0.022,0
66,6.59999999999999e-05,1.104,0,1.074,0,0.022,0
67,6.69999999999999e-05,1.114,0,1.082,0,0.023,0
68,6.79999999999999e-05,1.122,0,1.089,0,0.024,0
69,6.89999999999999e-05,1.132,0,1.098,0,0.024,0
70,6.99999999999999e-05,1.14,0,1.106,0,0.024,0
71,7.09999999999999e-05,1.15,0,1.115,0,0.025,0
72,7.19999999999999e-05,1.159,0,1.124,0,0.025,0
73,7.29999999999999e-05,1.167,0,1.132,0,0.025,0
74,7.39999999999999e-05,1.175,0,1.14,0,0.025,0
75,7.49999999999999e-05,1.183,0,1.148,0,0.025,0
76,7.59999999999999e-05,1.192,0,1.155,0,0.026,0
77,7.69999999999999e-05,1.199,0,1.162,0,0.026,0
78,7.79999999999999e-05,1.208,0,1.17,0,0.027,0
79,7.89999999999999e-05,1.216,0,1.178,0,0.027,0
80,7.99999999999999e-05,1.224,0,1.186,0,0.027,0
81,8.09999999999999e-05,1.232,0,1.192,0,0.028,0
