Step,Time (s),AL (mol/cm3s),Err,O2 (mol/cm3s),Err,ALO (mol/cm3s),Err,O (mol/cm3s),Err,ALO2 (mol/cm3s),Err,AL2O2 (mol/cm3s),Err,AL2O3(S) (mol/cm3s),Err,AL2O (mol/cm3s),Err,AL(L) (mol/cm3s),Err,AL2O3(L) (mol/cm3s),Err
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,3.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,3.8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,3.9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,4.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4.2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4.4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4.6e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4.7e-05,-25274.3972990318,0,-564013.783143163,0,-1100628.96233754,0,485788.985150325,0,-4389.5565592729,0,-200.919580829926,0,0,0,-28003.1813587435,0,0,0,593350.559037498,0
48,4.8e-05,-20793.2297597121,0,-304390.751804858,0,-567644.693653584,0,277121.702058848,0,947.386160279333,0,-611.903968878105,0,0,0,-7781.00651774555,0,0,0,302138.179113132,0
49,4.9e-05,-19389.0421201498,0,-245536.226652801,0,-446476.416529372,0,230672.778942034,0,752.102122301425,0,2869.55659473615,0,0,0,-5285.70422612131,0,0,0,234972.825894995,0
50,5e-05,-15218.2069518524,0,-144582.601347208,0,-213369.479280346,0,162832.285038767,0,-24713.4992084248,0,-4952.40877582041,0,0,0,-2112.60420804471,0,0,0,133715.605704177,0
51,5.1e-05,-15386.5845810585,0,-138850.167930514,0,-232238.400061889,0,135022.453097626,0,-221.350820029256,0,-1.27537897630464,0,0,0,-1794.10294595361,0,0,0,125718.546056418,0
52,5.19999999999999e-05,-16264.1934681477,0,-142837.615781397,0,-292270.57519821,0,117869.106498784,0,22110.6413122111,0,18492.3866134887,0,0,0,-2355.80661003292,0,0,0,127075.483673617,0
53,5.29999999999999e-05,-11250.7948437506,0,-90320.1458784044,0,-56575.8574774409,0,145563.590932459,0,-57768.7703517992,0,-16631.1173146194,0,0,0,-1082.92384064198,0,0,0,80511.7524917567,0
54,5.39999999999999e-05,-11106.2194884252,0,-68387.2941724658,0,-137260.971385695,0,48701.8300812665,0,19122.1662866115,0,7863.63592875296,0,0,0,-542.748061813414,0,0,0,57301.624426815,0
55,5.49999999999999e-05,-8850.79002099979,0,-52205.6821066737,0,-69455.6463109832,0,58513.1882096339,0,-7002.92359676518,0,-591.824002034141,0,0,0,-401.902806535363,0,0,0,43648.4067729436,0
56,5.59999999999999e-05,-7923.20345059835,0,-42658.0378988981,0,-66527.2412247318,0,39035.5125746894,0,3358.14639481518,0,930.651301982353,0,0,0,-191.85776970908,0,0,0,34807.3556079842,0
57,5.69999999999999e-05,-6930.99942748185,0,-35475.2004874051,0,-55802.9489394517,0,32400.0344725635,0,2794.32019898943,0,1512.04993655583,0,0,0,-183.641364179552,0,0,0,28641.4055115958,0
58,5.79999999999999e-05,-6114.6171710404,0,-30172.1787092984,0,-43079.9966179725,0,29326.948413821,0,643.136960619839,0,256.853096061076,0,0,0,-120.38477749005,0,0,0,24139.2700956255,0
59,5.89999999999999e-05,-5474.6739709394,0,-26115.3941837549,0,-35763.8822739937,0,25947.8273296845,0,-5.21810820046812,0,-7.95367482461563,0,0,0,-91.832161847502,0,0,0,20721.6730132389,0
