Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv (-),Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags (-),Err,Max num coags (-),Err,aluminum,Err,Avg. aluminum,Err,oxygen,Err,Avg. oxygen,Err
0,0,1024,0,1e+20,0,1.51781173693865e-09,0,1.51781173693865e-09,0,1.51781173693865e-09,0,723.745183163594,0,7.23745183163594e-18,0,1.83085045323072e-07,0,1.83085045323072e-27,0,0.000714031676759972,0,7.14031676759972e-24,0,5.09841235416662e-27,0,3.6404279220593e-50,0,0,0,0,0,1e+16,0,100,0,1e+16,0,100,0
1,8e-11,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779999,0,5.94346942779998e-18,0,1.36249336054376e-07,0,1.36249336054375e-27,0,0.00053137241061208,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
2,1.6e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
3,2.4e-10,1024,0,9.99999999999999e+19,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
4,3.2e-10,1024,0,9.99999999999999e+19,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
5,4e-10,1024,0,9.99999999999999e+19,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
6,4.8e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
7,5.6e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
8,6.4e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
9,7.2e-10,1024,0,1e+20,0,1.37545086320809e-09,0,1.37545086320809e-09,0,1.37545086320809e-09,0,594.346942779998,0,5.94346942779998e-18,0,1.36249336054375e-07,0,1.36249336054375e-27,0,0.000531372410612079,0,5.31372410612079e-24,0,2.82356638759684e-27,0,1.50036527790054e-50,0,0,0,0,0,0,0,0,0,2e+16,0,200,0
