Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv (-),Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags (-),Err,Max num coags (-),Err,aluminum,Err,Avg. aluminum,Err
0,0,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
1,1e-06,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
2,2e-06,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
3,3e-06,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
4,4e-06,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
5,5e-06,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
6,6e-06,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
7,7e-06,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
8,8e-06,1,0,10101008118319.9,0,9.94181861540737e-06,0,9.94181861540737e-06,0,9.94181861540737e-06,0,3136.50701740524,0,3.10514255672822e-10,0,0.00519710090068088,0,5.14513090159294e-16,0,12.3535088409185,0,1.22299761530864e-12,0,1.51083118531375e-11,0,1.84774293677264e-23,0,0,0,0,0,2.7553548831122e+20,0,27278018697113,0
9,9e-06,1,0,10101008118319.9,0,9.94181861540737e-06,0,9.94181861540737e-06,0,9.94181861540737e-06,0,3136.50701740524,0,3.10514255672822e-10,0,0.00519710090068088,0,5.14513090159294e-16,0,12.3535088409185,0,1.22299761530864e-12,0,1.51083118531375e-11,0,1.84774293677264e-23,0,0,0,0,0,2.7553548831122e+20,0,27278018697113,0
10,1e-05,1,0,10101008118319.9,0,9.94181861540737e-06,0,9.94181861540737e-06,0,9.94181861540737e-06,0,3136.50701740524,0,3.10514255672822e-10,0,0.00519710090068088,0,5.14513090159294e-16,0,12.3535088409185,0,1.22299761530864e-12,0,1.51083118531375e-11,0,1.84774293677264e-23,0,0,0,0,0,2.7553548831122e+20,0,27278018697113,0
11,1.1e-05,1,0,10101008118319.9,0,9.94181861540737e-06,0,9.94181861540737e-06,0,9.94181861540737e-06,0,3136.50701740524,0,3.10514255672822e-10,0,0.00519710090068088,0,5.14513090159294e-16,0,12.3535088409185,0,1.22299761530864e-12,0,1.51083118531375e-11,0,1.84774293677264e-23,0,0,0,0,0,2.7553548831122e+20,0,27278018697113,0
12,1.2e-05,1,0,10153546354636.4,0,9.91246743777986e-06,0,9.91246743777986e-06,0,9.91246743777986e-06,0,3134.2322565679,0,3.08683502994666e-10,0,0.00517799944384351,0,5.09969547879108e-16,0,12.308104678016,0,1.21219761530864e-12,0,1.49198551396601e-11,0,1.80858128210464e-23,0,0,0,0,0,2.74522783471018e+20,0,27037133025513,0
13,1.3e-05,1,0,10207119691775.4,0,9.88294140328523e-06,0,9.88294140328523e-06,0,9.88294140328523e-06,0,3132.02717085039,0,3.06847305158388e-10,0,0.00515894373448413,0,5.05426005598923e-16,0,12.2628092568688,0,1.20139761530864e-12,0,1.47325097981869e-11,0,1.76996021390529e-23,0,0,0,0,0,2.73512504031809e+20,0,26796247353913,0
