Step,Time (s),Reaction 0 (1/m3s),Err,Reaction 1 (1/m3s),Err,TransitionRegimeCoagulation (1/m3s),Err
0,0,16814676790718.3,0,0,0,0,0
1,1e-06,15968244904563.9,0,0,0,0,0
2,2e-06,15968244904563.9,0,0,0,0,0
3,3e-06,15161702458399.7,0,0,0,0,0
4,4e-06,14393296579297.6,0,0,0,0,0
5,5e-06,13661345667479.5,0,0,0,0,0
6,6e-06,13661345667479.5,0,0,0,0,0
7,7e-06,12964236733550.2,0,0,0,0,0
8,8e-06,10485074224075,0,0,0,0,0
9,9e-06,9940547070229.43,0,0,0,0,0
10,1e-05,9422477276003.13,0,0,0,0,0
11,1.1e-05,8929665004053.23,0,0,0,0,0
12,1.2e-05,8013932627255.19,0,0,0,0,0
13,1.3e-05,7186246243087.88,0,0,0,0,0
14,1.4e-05,6438681458148.59,0,0,0,0,0
15,1.5e-05,6093212846957.7,0,0,0,0,0
16,1.6e-05,5452361879703.86,0,0,0,0,0
17,1.7e-05,4874613184925.51,0,0,0,0,0
18,1.8e-05,4874613184925.51,0,0,0,0,0
19,1.9e-05,4354146494113.33,0,0,0,0,0
20,2e-05,3461254177987.53,0,0,0,0,0
21,2.1e-05,3461254177987.53,0,0,0,0,0
22,2.2e-05,3267318140055.63,0,0,0,0,0
23,2.3e-05,2908588545047.38,0,0,0,0,0
24,2.4e-05,2743548358579.61,0,0,0,0,0
25,2.5e-05,2307398504596.37,0,0,0,0,0
26,2.6e-05,1935531922411.24,0,0,0,0,0
27,2.7e-05,1719370826353.18,0,0,0,0,0
28,2.8e-05,1619973194734.18,0,0,0,0,0
29,2.9e-05,1525833904144.05,0,0,0,0,0
30,3e-05,1351934349500.49,0,0,0,0,0
31,3.1e-05,1196200790972.44,0,0,0,0,0
32,3.2e-05,992421020691.967,0,0,0,0,0
33,3.3e-05,820449650913.41,0,0,0,0,0
34,3.4e-05,721407620716.13,0,0,0,0,0
35,3.5e-05,592514934658.524,0,0,0,0,0
36,3.6e-05,554545511916.962,0,0,0,0,0
37,3.7e-05,518753151120.897,0,0,0,0,0
38,3.8e-05,485024274374.21,0,0,0,0,0
39,3.9e-05,423179217317.015,0,0,0,0,0
40,4e-05,395021755135.688,0,0,0,0,0
41,4.1e-05,368525558531.64,0,0,0,0,0
42,4.2e-05,175517964767.626,0,0,0,0,0
43,4.3e-05,119126649552.563,0,0,0,0,0
44,4.4e-05,108682942417.736,0,0,0,0,0
45,4.5e-05,50200256786.3994,0,0,0,0,0
46,4.6e-05,28703255704.0478,0,0,0,0,0
47,4.7e-05,6135737093.84599,0,0,0,0,0
48,4.8e-05,2974229072.22359,0,0,0,0,0
49,4.9e-05,1420953937.10838,0,0,0,0,0
50,5e-05,1112511410.99978,0,0,0,0,0
51,5.1e-05,572576843.450987,0,0,0,0,0
52,5.19999999999999e-05,0,0,0,0,0,0
53,5.29999999999999e-05,0,0,0,0,0,0
54,5.39999999999999e-05,0,0,0,0,0,0
55,5.49999999999999e-05,0,0,0,0,0,0
56,5.59999999999999e-05,0,0,0,0,0,0
57,5.69999999999999e-05,0,0,0,0,0,0
58,5.79999999999999e-05,0,0,0,0,0,0
59,5.89999999999999e-05,0,0,0,0,0,0
60,5.99999999999999e-05,0,0,0,0,0,0
61,6.09999999999999e-05,0,0,0,0,0,0
62,6.19999999999999e-05,0,0,0,0,0,0
63,6.29999999999999e-05,0,0,0,0,0,0
64,6.39999999999999e-05,0,0,0,0,0,0
65,6.49999999999999e-05,0,0,0,0,0,0
66,6.59999999999999e-05,0,0,0,0,0,0
67,6.69999999999999e-05,0,0,0,0,0,0
68,6.79999999999999e-05,0,0,0,0,0,0
69,6.89999999999999e-05,0,0,0,0,0,0
70,6.99999999999999e-05,0,0,0,0,0,0
71,7.09999999999999e-05,0,0,0,0,0,0
72,7.19999999999999e-05,0,0,0,0,0,0
73,7.29999999999999e-05,0,0,0,0,0,0
74,7.39999999999999e-05,0,0,0,0,0,0
75,7.49999999999999e-05,0,0,0,0,0,0
76,7.59999999999999e-05,0,0,0,0,0,0
77,7.69999999999999e-05,0,0,0,0,0,0
78,7.79999999999999e-05,0,0,0,0,0,0
79,7.89999999999999e-05,0,0,0,0,0,0
80,7.99999999999999e-05,0,0,0,0,0,0
81,8.09999999999999e-05,0,0,0,0,0,0
82,8.19999999999999e-05,0,0,0,0,0,0
83,8.29999999999999e-05,0,0,0,0,0,0
84,8.39999999999999e-05,0,0,0,0,0,0
85,8.49999999999999e-05,0,0,0,0,0,0
86,8.59999999999999e-05,0,0,0,0,0,0
87,8.69999999999999e-05,0,0,0,0,0,0
88,8.79999999999998e-05,0,0,0,0,0,0
89,8.89999999999998e-05,0,0,0,0,0,0
90,8.99999999999998e-05,0,0,0,0,0,0
91,9.09999999999998e-05,0,0,0,0,0,0
92,9.19999999999998e-05,0,0,0,0,0,0
93,9.29999999999998e-05,0,0,0,0,0,0
94,9.39999999999998e-05,0,0,0,0,0,0
95,9.49999999999998e-05,0,0,0,0,0,0
96,9.59999999999998e-05,0,0,0,0,0,0
97,9.69999999999998e-05,0,0,0,0,0,0
98,9.79999999999998e-05,0,0,0,0,0,0
99,9.89999999999998e-05,0,0,0,0,0,0
100,9.99999999999998e-05,0,0,0,0,0,0
101,0.000101,0,0,0,0,0,0
102,0.000102,0,0,0,0,0,0
103,0.000103,0,0,0,0,0,0
104,0.000104,0,0,0,0,0,0
105,0.000105,0,0,0,0,0,0
106,0.000106,0,0,0,0,0,0
107,0.000107,0,0,0,0,0,0
108,0.000108,0,0,0,0,0,0
109,0.000109,0,0,0,0,0,0
110,0.00011,0,0,0,0,0,0
111,0.000111,0,0,0,0,0,0
112,0.000112,0,0,0,0,0,0
113,0.000113,0,0,0,0,0,0
114,0.000114,0,0,0,0,0,0
115,0.000115,0,0,0,0,0,0
116,0.000116,0,0,0,0,0,0
117,0.000117,0,0,0,0,0,0
118,0.000118,0,0,0,0,0,0
119,0.000119,0,0,0,0,0,0
120,0.00012,0,0,0,0,0,0
121,0.000121,0,0,0,0,0,0
122,0.000122,0,0,0,0,0,0
123,0.000123,0,0,0,0,0,0
124,0.000124,0,0,0,0,0,0
125,0.000125,0,0,0,0,0,0
126,0.000126,0,0,0,0,0,0
127,0.000127,0,0,0,0,0,0
128,0.000128,0,0,0,0,0,0
129,0.000129,0,0,0,0,0,0
130,0.00013,0,0,0,0,0,0
131,0.000131,0,0,0,0,0,0
132,0.000132,0,0,0,0,0,0
133,0.000133,0,0,0,0,0,0
134,0.000134,0,0,0,0,0,0
135,0.000135,0,0,0,0,0,0
136,0.000136,0,0,0,0,0,0
137,0.000137,0,0,0,0,0,0
138,0.000138,0,0,0,0,0,0
139,0.000139,0,0,0,0,0,0
140,0.00014,0,0,0,0,0,0
141,0.000141,0,0,0,0,0,0
142,0.000142,0,0,0,0,0,0
143,0.000143,0,0,0,0,0,0
144,0.000144,0,0,0,0,0,0
145,0.000145,0,0,0,0,0,0
146,0.000146,0,0,0,0,0,0
147,0.000147,0,0,0,0,0,0
148,0.000148,0,0,0,0,0,0
149,0.000149,0,0,0,0,0,0
150,0.00015,0,0,0,0,0,0
151,0.000151,0,0,0,0,0,0
152,0.000152,0,0,0,0,0,0
153,0.000153,0,0,0,0,0,0
154,0.000154,0,0,0,0,0,0
155,0.000155,0,0,0,0,0,0
156,0.000156,0,0,0,0,0,0
157,0.000157,0,0,0,0,0,0
158,0.000158,0,0,0,0,0,0
159,0.000159,0,0,0,0,0,0
160,0.00016,0,0,0,0,0,0
161,0.000161,0,0,0,0,0,0
162,0.000162,0,0,0,0,0,0
163,0.000163,0,0,0,0,0,0
164,0.000164,0,0,0,0,0,0
165,0.000165,0,0,0,0,0,0
166,0.000166,0,0,0,0,0,0
167,0.000167,0,0,0,0,0,0
168,0.000168,0,0,0,0,0,0
169,0.000169,0,0,0,0,0,0
170,0.00017,0,0,0,0,0,0
171,0.000171,0,0,0,0,0,0
172,0.000172,0,0,0,0,0,0
173,0.000173,0,0,0,0,0,0
174,0.000174,0,0,0,0,0,0
175,0.000175,0,0,0,0,0,0
176,0.000176,0,0,0,0,0,0
177,0.000177,0,0,0,0,0,0
178,0.000178,0,0,0,0,0,0
179,0.000179,0,0,0,0,0,0
180,0.00018,0,0,0,0,0,0
181,0.000181,0,0,0,0,0,0
182,0.000182,0,0,0,0,0,0
183,0.000183,0,0,0,0,0,0
184,0.000184,0,0,0,0,0,0
185,0.000185,0,0,0,0,0,0
186,0.000186,0,0,0,0,0,0
187,0.000187,0,0,0,0,0,0
188,0.000188,0,0,0,0,0,0
189,0.000189,0,0,0,0,0,0
190,0.00019,0,0,0,0,0,0
191,0.000191,0,0,0,0,0,0
192,0.000192,0,0,0,0,0,0
193,0.000193,0,0,0,0,0,0
194,0.000194,0,0,0,0,0,0
195,0.000195,0,0,0,0,0,0
196,0.000196,0,0,0,0,0,0
197,0.000197,0,0,0,0,0,0
198,0.000198,0,0,0,0,0,0
199,0.000199,0,0,0,0,0,0
200,0.0002,0,0,0,0,0,0
201,0.000201,0,0,0,0,0,0
202,0.000202,0,0,0,0,0,0
203,0.000203,0,0,0,0,0,0
204,0.000204,0,0,0,0,0,0
205,0.000205,0,0,0,0,0,0
206,0.000206,0,0,0,0,0,0
207,0.000207,0,0,0,0,0,0
208,0.000208,0,0,0,0,0,0
209,0.000209,0,0,0,0,0,0
210,0.00021,0,0,0,0,0,0
211,0.000211,0,0,0,0,0,0
212,0.000212,0,0,0,0,0,0
213,0.000213,0,0,0,0,0,0
214,0.000214,0,0,0,0,0,0
215,0.000215,0,0,0,0,0,0
216,0.000216,0,0,0,0,0,0
217,0.000217,0,0,0,0,0,0
218,0.000218,0,0,0,0,0,0
219,0.000219,0,0,0,0,0,0
220,0.000219999999999999,0,0,0,0,0,0
221,0.000220999999999999,0,0,0,0,0,0
222,0.000221999999999999,0,0,0,0,0,0
223,0.000222999999999999,0,0,0,0,0,0
224,0.000223999999999999,0,0,0,0,0,0
225,0.000224999999999999,0,0,0,0,0,0
226,0.000225999999999999,0,0,0,0,0,0
227,0.000226999999999999,0,0,0,0,0,0
228,0.000227999999999999,0,0,0,0,0,0
229,0.000228999999999999,0,0,0,0,0,0
230,0.000229999999999999,0,0,0,0,0,0
231,0.000230999999999999,0,0,0,0,0,0
232,0.000231999999999999,0,0,0,0,0,0
233,0.000232999999999999,0,0,0,0,0,0
234,0.000233999999999999,0,0,0,0,0,0
235,0.000234999999999999,0,0,0,0,0,0
236,0.000235999999999999,0,0,0,0,0,0
237,0.000236999999999999,0,0,0,0,0,0
238,0.000237999999999999,0,0,0,0,0,0
239,0.000238999999999999,0,0,0,0,0,0
240,0.000239999999999999,0,0,0,0,0,0
241,0.000240999999999999,0,0,0,0,0,0
242,0.000241999999999999,0,0,0,0,0,0
243,0.000242999999999999,0,0,0,0,0,0
244,0.000243999999999999,0,0,0,0,0,0
245,0.000244999999999999,0,0,0,0,0,0
246,0.000245999999999999,0,0,0,0,0,0
247,0.000247,0,0,0,0,0,0
248,0.000248,0,0,0,0,0,0
249,0.000249,0,0,0,0,0,0
250,0.00025,0,0,0,0,0,0
251,0.000251,0,0,0,0,0,0
252,0.000252,0,0,0,0,0,0
253,0.000253,0,0,0,0,0,0
254,0.000254,0,0,0,0,0,0
255,0.000255,0,0,0,0,0,0
256,0.000256,0,0,0,0,0,0
257,0.000257,0,0,0,0,0,0
258,0.000258,0,0,0,0,0,0
259,0.000259,0,0,0,0,0,0
260,0.00026,0,0,0,0,0,0
261,0.000261,0,0,0,0,0,0
262,0.000262,0,0,0,0,0,0
263,0.000263,0,0,0,0,0,0
264,0.000264,0,0,0,0,0,0
265,0.000265,0,0,0,0,0,0
266,0.000266,0,0,0,0,0,0
267,0.000267,0,0,0,0,0,0
268,0.000268,0,0,0,0,0,0
269,0.000269,0,0,0,0,0,0
270,0.00027,0,0,0,0,0,0
271,0.000271,0,0,0,0,0,0
272,0.000272,0,0,0,0,0,0
273,0.000273,0,0,0,0,0,0
274,0.000274,0,0,0,0,0,0
275,0.000275,0,0,0,0,0,0
276,0.000276,0,0,0,0,0,0
277,0.000277,0,0,0,0,0,0
278,0.000278,0,0,0,0,0,0
279,0.000279,0,0,0,0,0,0
280,0.00028,0,0,0,0,0,0
281,0.000281,0,0,0,0,0,0
282,0.000282,0,0,0,0,0,0
283,0.000283,0,0,0,0,0,0
284,0.000284,0,0,0,0,0,0
285,0.000285,0,0,0,0,0,0
286,0.000286,0,0,0,0,0,0
287,0.000287,0,0,0,0,0,0
288,0.000288000000000001,0,0,0,0,0,0
289,0.000289000000000001,0,0,0,0,0,0
290,0.000290000000000001,0,0,0,0,0,0
291,0.000291000000000001,0,0,0,0,0,0
292,0.000292000000000001,0,0,0,0,0,0
293,0.000293000000000001,0,0,0,0,0,0
294,0.000294000000000001,0,0,0,0,0,0
295,0.000295000000000001,0,0,0,0,0,0
296,0.000296000000000001,0,0,0,0,0,0
297,0.000297000000000001,0,0,0,0,0,0
298,0.000298000000000001,0,0,0,0,0,0
299,0.000299000000000001,0,0,0,0,0,0
300,0.000300000000000001,0,0,0,0,0,0
301,0.000301000000000001,0,0,0,0,0,0
302,0.000302000000000001,0,0,0,0,0,0
303,0.000303000000000001,0,0,0,0,0,0
304,0.000304000000000001,0,0,0,0,0,0
305,0.000305000000000001,0,0,0,0,0,0
306,0.000306000000000001,0,0,0,0,0,0
307,0.000307000000000001,0,0,0,0,0,0
308,0.000308000000000001,0,0,0,0,0,0
309,0.000309000000000001,0,0,0,0,0,0
310,0.000310000000000001,0,0,0,0,0,0
311,0.000311000000000001,0,0,0,0,0,0
312,0.000312000000000001,0,0,0,0,0,0
313,0.000313000000000001,0,0,0,0,0,0
314,0.000314000000000001,0,0,0,0,0,0
315,0.000315000000000001,0,0,0,0,0,0
316,0.000316000000000001,0,0,0,0,0,0
317,0.000317000000000001,0,0,0,0,0,0
318,0.000318000000000001,0,0,0,0,0,0
319,0.000319000000000001,0,0,0,0,0,0
320,0.000320000000000001,0,0,0,0,0,0
321,0.000321000000000001,0,0,0,0,0,0
322,0.000322000000000001,0,0,0,0,0,0
323,0.000323000000000001,0,0,0,0,0,0
324,0.000324000000000001,0,0,0,0,0,0
325,0.000325000000000001,0,0,0,0,0,0
326,0.000326000000000001,0,0,0,0,0,0
327,0.000327000000000001,0,0,0,0,0,0
328,0.000328000000000001,0,0,0,0,0,0
329,0.000329000000000001,0,0,0,0,0,0
330,0.000330000000000002,0,0,0,0,0,0
331,0.000331000000000002,0,0,0,0,0,0
332,0.000332000000000002,0,0,0,0,0,0
333,0.000333000000000002,0,0,0,0,0,0
334,0.000334000000000002,0,0,0,0,0,0
335,0.000335000000000002,0,0,0,0,0,0
336,0.000336000000000002,0,0,0,0,0,0
337,0.000337000000000002,0,0,0,0,0,0
338,0.000338000000000002,0,0,0,0,0,0
339,0.000339000000000002,0,0,0,0,0,0
340,0.000340000000000002,0,0,0,0,0,0
341,0.000341000000000002,0,0,0,0,0,0
342,0.000342000000000002,0,0,0,0,0,0
343,0.000343000000000002,0,0,0,0,0,0
344,0.000344000000000002,0,0,0,0,0,0
345,0.000345000000000002,0,0,0,0,0,0
346,0.000346000000000002,0,0,0,0,0,0
347,0.000347000000000002,0,0,0,0,0,0
348,0.000348000000000002,0,0,0,0,0,0
349,0.000349000000000002,0,0,0,0,0,0
350,0.000350000000000002,0,0,0,0,0,0
351,0.000351000000000002,0,0,0,0,0,0
352,0.000352000000000002,0,0,0,0,0,0
353,0.000353000000000002,0,0,0,0,0,0
354,0.000354000000000002,0,0,0,0,0,0
355,0.000355000000000002,0,0,0,0,0,0
356,0.000356000000000002,0,0,0,0,0,0
357,0.000357000000000002,0,0,0,0,0,0
358,0.000358000000000002,0,0,0,0,0,0
359,0.000359000000000002,0,0,0,0,0,0
360,0.000360000000000002,0,0,0,0,0,0
361,0.000361000000000002,0,0,0,0,0,0
362,0.000362000000000002,0,0,0,0,0,0
363,0.000363000000000002,0,0,0,0,0,0
364,0.000364000000000002,0,0,0,0,0,0
365,0.000365000000000002,0,0,0,0,0,0
366,0.000366000000000002,0,0,0,0,0,0
367,0.000367000000000002,0,0,0,0,0,0
368,0.000368000000000002,0,0,0,0,0,0
369,0.000369000000000002,0,0,0,0,0,0
370,0.000370000000000002,0,0,0,0,0,0
371,0.000371000000000003,0,0,0,0,0,0
372,0.000372000000000003,0,0,0,0,0,0
373,0.000373000000000003,0,0,0,0,0,0
374,0.000374000000000003,0,0,0,0,0,0
375,0.000375000000000003,0,0,0,0,0,0
376,0.000376000000000003,0,0,0,0,0,0
377,0.000377000000000003,0,0,0,0,0,0
378,0.000378000000000003,0,0,0,0,0,0
379,0.000379000000000003,0,0,0,0,0,0
380,0.000380000000000003,0,0,0,0,0,0
381,0.000381000000000003,0,0,0,0,0,0
382,0.000382000000000003,0,0,0,0,0,0
383,0.000383000000000003,0,0,0,0,0,0
384,0.000384000000000003,0,0,0,0,0,0
385,0.000385000000000003,0,0,0,0,0,0
386,0.000386000000000003,0,0,0,0,0,0
387,0.000387000000000003,0,0,0,0,0,0
388,0.000388000000000003,0,0,0,0,0,0
