Step,Time (s),Particle Count,Err,M0 (m-3),Err,Equiv. Sphere Diameter (m),Err,Collision Diameter (m),Err,Mobility Diameter (m),Err,Surface Area (m2/m3),Err,Avg. Surface Area (m2),Err,Fv (-),Err,Avg. Volume (m3),Err,Mass (kg/m3),Err,Avg. Mass (kg),Err,Mass2 (kg2/m6),Err,Mass3 (kg3/m9),Err,Avg num coags (-),Err,Max num coags (-),Err,aluminum,Err,Avg. aluminum,Err
0,0,1,0,10000000000000,0,1.00000066044886e-05,0,1.00000066044886e-05,0,1.00000066044886e-05,0,3141.59680331375,0,3.14159680331375e-10,0,0.00523600174719664,0,5.23600174719664e-16,0,12.4459761530864,0,1.24459761530864e-12,0,1.54902322403196e-11,0,1.92791061068788e-23,0,0,0,0,0,2.7759790040313e+20,0,27759790040313,0
1,5e-06,1,0,10101008118319.9,0,9.94181861540737e-06,0,9.94181861540737e-06,0,9.94181861540737e-06,0,3136.50701740524,0,3.10514255672822e-10,0,0.00519710090068088,0,5.14513090159294e-16,0,12.3535088409185,0,1.22299761530864e-12,0,1.51083118531375e-11,0,1.84774293677264e-23,0,0,0,0,0,2.7553548831122e+20,0,27278018697113,0
2,1e-05,1,0,10153546354636.4,0,9.91246743777986e-06,0,9.91246743777986e-06,0,9.91246743777986e-06,0,3134.2322565679,0,3.08683502994666e-10,0,0.00517799944384351,0,5.09969547879108e-16,0,12.308104678016,0,1.21219761530864e-12,0,1.49198551396601e-11,0,1.80858128210464e-23,0,0,0,0,0,2.74522783471018e+20,0,27037133025513,0
3,1.5e-05,1,0,10260693028914.3,0,9.85323788418503e-06,0,9.85323788418503e-06,0,9.85323788418503e-06,0,3129.56880084987,0,3.05005596798467e-10,0,0.00513940119967999,0,5.00882463318738e-16,0,12.2163566516393,0,1.19059761530864e-12,0,1.45447650972017e-11,0,1.73169626399526e-23,0,0,0,0,0,2.72476414494007e+20,0,26555361682313,0
4,2e-05,1,0,10427765201659.7,0,9.76303517251333e-06,0,9.76303517251333e-06,0,9.76303517251333e-06,0,3122.56023131376,0,2.99446733880885e-10,0,0.005080947744872,0,4.87251836478183e-16,0,12.0774127895607,0,1.15819761530864e-12,0,1.39880306919673e-11,0,1.62009037903006e-23,0,0,0,0,0,2.69377378796645e+20,0,25832704667513,0
5,2.5e-05,1,0,10604721137605.6,0,9.67113412745708e-06,0,9.67113412745708e-06,0,9.67113412745708e-06,0,3116.04656121357,0,2.93835785097987e-10,0,0.00502262085306249,0,4.73621209637628e-16,0,11.9387697677295,0,1.12579761530864e-12,0,1.34406385342288e-11,0,1.51314388100602e-23,0,0,0,0,0,2.6628505310901e+20,0,25110047652713,0
6,3e-05,1,0,10667140978772.1,0,9.64010900110475e-06,0,9.64010900110475e-06,0,9.64010900110475e-06,0,3114.30968654417,0,2.91953550885072e-10,0,0.00500371760769539,0,4.69077667357443e-16,0,11.893836753492,0,1.11499761530864e-12,0,1.32615996170138e-11,0,1.47866519481484e-23,0,0,0,0,0,2.65282856876451e+20,0,24869161981113,0
7,3.5e-05,1,0,10794321552368.6,0,9.57745247761017e-06,0,9.57745247761017e-06,0,9.57745247761017e-06,0,3110.60764683821,0,2.88170741602157e-10,0,0.00496528626177304,0,4.59990582797072e-16,0,11.8024854442345,0,1.09339761530864e-12,0,1.2904809439441e-11,0,1.41100878670972e-23,0,0,0,0,0,2.63245336368857e+20,0,24387390637913,0
8,4e-05,1,0,11256231517347.1,0,9.35142455441208e-06,0,9.35142455441208e-06,0,9.35142455441208e-06,0,3092.41975204214,0,2.74729579546795e-10,0,0.00481975834906091,0,4.28185786835777e-16,0,11.4565655957178,0,1.01779761530864e-12,0,1.16604651429486e-11,0,1.18679936158826e-23,0,0,0,0,0,2.55529860903142e+20,0,22701190936713,0
9,4.5e-05,1,0,11481470040981.7,0,9.25112324964406e-06,0,9.25112324964406e-06,0,9.25112324964406e-06,0,3086.99768315464,0,2.68867808053845e-10,0,0.0047597026498195,0,4.14555159995221e-16,0,11.313813198621,0,9.85397615308641e-13,0,1.11486045459685e-11,0,1.09858083336165e-23,0,0,0,0,0,2.52345878769144e+20,0,21978533921913,0
