Weight (cm-3),Equiv. Sphere Diameter (nm),Collision Diameter (nm),Mobility Diameter (nm),Surface Area (cm2),Volume (cm3),Mass (g),Age (s),Stat. Weight (-),Num coags (-),aluminum
195312887955.464,16375.444177965,16375.444177965,16375.444177965,8.42434318457881e-06,2.29920754611609e-09,8.96690942985274e-09,0.0014,2,0,200000000017264
195312887955.464,16375.4441779617,16375.4441779617,16375.4441779617,8.42434318457546e-06,2.29920754611472e-09,8.96690942984741e-09,0.0014,2,0,200000000017145
195312887955.464,16375.4441779603,16375.4441779603,16375.4441779603,8.42434318457395e-06,2.2992075461141e-09,8.96690942984499e-09,0.0014,2,0,200000000017091
195312887955.464,16375.4441779672,16375.4441779672,16375.4441779672,8.42434318458108e-06,2.29920754611702e-09,8.96690942985637e-09,0.0014,2,0,200000000017345
195312887955.464,16375.4441779618,16375.4441779618,16375.4441779618,8.42434318457558e-06,2.29920754611477e-09,8.96690942984759e-09,0.0014,2,0,200000000017149
195312887955.464,16375.4441779575,16375.4441779575,16375.4441779575,8.42434318457112e-06,2.29920754611294e-09,8.96690942984046e-09,0.0014,2,0,200000000016990
195312887955.464,16375.444177963,16375.444177963,16375.444177963,8.42434318457676e-06,2.29920754611525e-09,8.96690942984947e-09,0.0014,2,0,200000000017191
195312887955.464,16375.4441779582,16375.4441779582,16375.4441779582,8.42434318457179e-06,2.29920754611321e-09,8.96690942984153e-09,0.0014,2,0,200000000017014
195312887955.464,16375.4441779558,16375.4441779558,16375.4441779558,8.4243431845694e-06,2.29920754611224e-09,8.96690942983772e-09,0.0014,2,0,200000000016929
195312887955.464,16375.444177957,16375.444177957,16375.444177957,8.42434318457055e-06,2.29920754611271e-09,8.96690942983956e-09,0.0014,2,0,200000000016970
195312887955.464,16375.444177959,16375.444177959,16375.444177959,8.42434318457269e-06,2.29920754611358e-09,8.96690942984297e-09,0.0014,2,0,200000000017046
195312887955.464,16375.4441779584,16375.4441779584,16375.4441779584,8.42434318457204e-06,2.29920754611332e-09,8.96690942984194e-09,0.0014,2,0,200000000017023
195312887955.464,16375.4441779564,16375.4441779564,16375.4441779564,8.42434318456994e-06,2.29920754611246e-09,8.96690942983857e-09,0.0014,2,0,200000000016948
195312887955.464,16375.4441779563,16375.4441779563,16375.4441779563,8.42434318456988e-06,2.29920754611243e-09,8.96690942983849e-09,0.0014,2,0,200000000016946
195312887955.464,16375.4441779572,16375.4441779572,16375.4441779572,8.42434318457083e-06,2.29920754611282e-09,8.96690942984001e-09,0.0014,2,0,200000000016980
195312887955.464,16375.4441779543,16375.4441779543,16375.4441779543,8.4243431845678e-06,2.29920754611158e-09,8.96690942983517e-09,0.0014,2,0,200000000016872
195312887955.464,16375.4441779495,16375.4441779495,16375.4441779495,8.42434318456292e-06,2.29920754610958e-09,8.96690942982737e-09,0.0014,2,0,200000000016698
195312887955.464,16375.4441779502,16375.4441779502,16375.4441779502,8.42434318456356e-06,2.29920754610985e-09,8.9669094298284e-09,0.0014,2,0,200000000016721
195312887955.464,16375.444177948,16375.444177948,16375.444177948,8.42434318456129e-06,2.29920754610892e-09,8.96690942982477e-09,0.0014,2,0,200000000016640
195312887955.464,16375.4441779507,16375.4441779507,16375.4441779507,8.42434318456415e-06,2.29920754611009e-09,8.96690942982934e-09,0.0014,2,0,200000000016742
195312887955.464,16375.4441779482,16375.4441779482,16375.4441779482,8.42434318456157e-06,2.29920754610903e-09,8.96690942982522e-09,0.0014,2,0,200000000016650
195312887955.464,16375.4441779451,16375.4441779451,16375.4441779451,8.42434318455837e-06,2.29920754610772e-09,8.9669094298201e-09,0.0014,2,0,200000000016536
195312887955.464,16375.4441779426,16375.4441779426,16375.4441779426,8.42434318455578e-06,2.29920754610666e-09,8.96690942981598e-09,0.0014,2,0,200000000016444
195312887955.464,16375.4441779404,16375.4441779404,16375.4441779404,8.42434318455354e-06,2.29920754610574e-09,8.96690942981239e-09,0.0014,2,0,200000000016364
195312887955.464,16375.4441779393,16375.4441779393,16375.4441779393,8.42434318455236e-06,2.29920754610526e-09,8.96690942981051e-09,0.0014,2,0,200000000016322
195312887955.464,16375.4441779421,16375.4441779421,16375.4441779421,8.42434318455531e-06,2.29920754610647e-09,8.96690942981522e-09,0.0014,2,0,200000000016427
